"filename", "language", "JSON", "XML", "Properties", "Java", "comment", "blank", "total"
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG24.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG25.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG26.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG27.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG28.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG29.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG3.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG30.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG4.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG5.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG6.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG7.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
"e:\Java\IdeaProjects\scalpel-23\networks\provenanceInfo\bgp\case2.1\BNG8.cfg", "Properties", 0, 0, 85, 0, 23, 1, 109
